"Name","State","Notes","User","Tags","Created","Runtime","Sweep","NEGS","POLICY_NHEADS","agent","architecture","beta","beta_l2a","custom_rep_loss","disable_wandb","dropout","entropy_coeff","environment","epsilon_greedy","first_phase","frame_stack","game_type","gamma","high_difficulty","is_high_res","l2_weight","learning_rate","long_training","n_skills","nodes","nr_samples","num_envs","num_eval","num_gpus","num_levels","num_minibatches","num_steps","openai","paint_vel_info","ppo_epochs","r_clip","rep","rep_loss_m","rep_loss_weight","replay","run_id","s_clip","save_images","save_interval","second_phase","set_seed","short_training","skill_epochs","sni","sni2","test","test_eval","test_ratio","train_eval","use_batch_norm","use_black_white","use_data_augmentation","use_lstm","very_short_training","goal_epochs","bigfish/avg_value","bigfish/custom_loss","bigfish/custom_step","bigfish/entropy","bigfish/ep_len_mean","bigfish/eplenmean","bigfish/eprew","bigfish/eprew_eval","bigfish/rep_loss","bossfight/avg_value","bossfight/custom_loss","bossfight/custom_step","bossfight/entropy","bossfight/ep_len_mean","bossfight/eplenmean","bossfight/eprew","bossfight/eprew_eval","bossfight/rep_loss","caveflyer/avg_value","caveflyer/custom_loss","caveflyer/custom_step","caveflyer/entropy","caveflyer/ep_len_mean","caveflyer/eplenmean","caveflyer/eprew","caveflyer/eprew_eval","caveflyer/rep_loss","chaser/avg_value","chaser/custom_loss","chaser/custom_step","chaser/entropy","chaser/ep_len_mean","chaser/eplenmean","chaser/eprew","chaser/eprew_eval","chaser/rep_loss","climber/avg_value","climber/custom_loss","climber/custom_step","climber/entropy","climber/ep_len_mean","climber/eplenmean","climber/eprew","climber/eprew_eval","climber/rep_loss","coinrun/avg_value","coinrun/custom_loss","coinrun/custom_step","coinrun/entropy","coinrun/ep_len_mean","coinrun/eplenmean","coinrun/eprew","coinrun/eprew_eval","coinrun/rep_loss","dodgeball/avg_value","dodgeball/custom_loss","dodgeball/custom_step","dodgeball/entropy","dodgeball/ep_len_mean","dodgeball/eplenmean","dodgeball/eprew","dodgeball/eprew_eval","dodgeball/rep_loss","fruitbot/avg_value","fruitbot/custom_loss","fruitbot/custom_step","fruitbot/entropy","fruitbot/ep_len_mean","fruitbot/eplenmean","fruitbot/eprew","fruitbot/eprew_eval","fruitbot/rep_loss","heist/avg_value","heist/custom_loss","heist/custom_step","heist/ep_len_mean","heist/eplenmean","heist/eprew","heist/eprew_eval","heist/rep_loss","jumper/avg_value","jumper/custom_loss","jumper/custom_step","jumper/entropy","jumper/ep_len_mean","jumper/eplenmean","jumper/eprew","jumper/eprew_eval","jumper/rep_loss","leaper/avg_value","leaper/custom_loss","leaper/custom_step","leaper/entropy","leaper/ep_len_mean","leaper/eplenmean","leaper/eprew","leaper/eprew_eval","leaper/rep_loss","maze/avg_value","maze/custom_loss","maze/custom_step","maze/entropy","maze/ep_len_mean","maze/eplenmean","maze/eprew","maze/eprew_eval","maze/rep_loss","miner/avg_value","miner/custom_loss","miner/custom_step","miner/entropy","miner/ep_len_mean","miner/eplenmean","miner/eprew","miner/eprew_eval","miner/rep_loss","ninja/avg_value","ninja/custom_loss","ninja/custom_step","ninja/entropy","ninja/ep_len_mean","ninja/eplenmean","ninja/eprew","ninja/eprew_eval","ninja/rep_loss","plunder/avg_value","plunder/custom_loss","plunder/custom_step","plunder/entropy","plunder/ep_len_mean","plunder/eplenmean","plunder/eprew","plunder/eprew_eval","plunder/rep_loss","starpilot/avg_value","starpilot/custom_loss","starpilot/custom_step","starpilot/entropy","starpilot/ep_len_mean","starpilot/eplenmean","starpilot/eprew","starpilot/eprew_eval","starpilot/rep_loss","bigfish/cluster_loss","bigfish/silhouette_score","bossfight/cluster_loss","caveflyer/cluster_loss","chaser/cluster_loss","climber/cluster_loss","coinrun/cluster_loss","dodgeball/cluster_loss","fruitbot/cluster_loss","heist/cluster_loss","heist/entropy","jumper/cluster_loss","leaper/cluster_loss","maze/cluster_loss","miner/cluster_loss","ninja/cluster_loss","plunder/cluster_loss","starpilot/cluster_loss","bossfight/silhouette_score","caveflyer/silhouette_score","chaser/silhouette_score","climber/silhouette_score","coinrun/silhouette_score","dodgeball/silhouette_score","fruitbot/silhouette_score","heist/silhouette_score","jumper/silhouette_score","leaper/silhouette_score","maze/silhouette_score","miner/silhouette_score","ninja/silhouette_score","plunder/silhouette_score","starpilot/silhouette_score","bigfish/value_i_loss","maze/value_i_loss","bigfish/myow_loss","bossfight/myow_loss","bossfight/value_i_loss","caveflyer/myow_loss","caveflyer/value_i_loss","chaser/myow_loss","chaser/value_i_loss","climber/myow_loss","climber/value_i_loss","coinrun/myow_loss","coinrun/value_i_loss","dodgeball/myow_loss","dodgeball/value_i_loss","fruitbot/myow_loss","fruitbot/value_i_loss","heist/myow_loss","heist/value_i_loss","jumper/myow_loss","jumper/value_i_loss","leaper/myow_loss","leaper/value_i_loss","maze/myow_loss","miner/myow_loss","miner/value_i_loss","ninja/myow_loss","ninja/value_i_loss","plunder/myow_loss","plunder/value_i_loss","starpilot/myow_loss","starpilot/value_i_loss"
"ninja__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:58:10.000Z","32385","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","ninja","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6908267339070635","0","24993792","","66.81333333333333","66.81333333333333","8.358254510000002","5.8318756899999995","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4235142866770425","","","","","","","","","","","","","","","0.18647640943527222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5837478041648865","1.0571235020955403","","","",""
"starpilot__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:58:14.000Z","30597","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","starpilot","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.26963488260905","0","24993792","","420.64666666666665","420.64666666666665","10.284873543333333","9.44406791","","","","","","","","","","","","","","","","","","","2.9083080291748047","","","","","","","","","","","","","","","0.06096208794042468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46861090262730914","1.5242121318976083"
"miner__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:58:04.000Z","32379","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","miner","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.850536664326986","0","17782101.333333332","","309.1","309.1","9.090284333333335","8.035522926666665","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0351598262786865","","","","","","","","","","","","","","","0.26666346689065296","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.22357342640558878","0.2788476347923279","","","","","",""
"plunder__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:57:51.000Z","30354","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","plunder","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.504236857096354","0","24993792","","516.9766666666667","516.9766666666667","8.736632746666666","7.60039566","","","","","","","","","","","","","","","","","","","","","","","","","","","2.482741673787435","","","","","","","","","","","","","","","0.2194521228472392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.12611795961856842","0.1781819611787796","",""
"maze__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:57:44.000Z","33308","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","maze","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.021881937980652","0","24993792","","96.53","96.53","8.433333333333334","5.366666666666666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6493393580118814","","","","","","","","","","","","","","","0.27575241525967914","","","","","","0.25606473783651984","","","","","","","","","","","","","","","","","","","","","","0.1898036946853002","","","","","","","",""
"jumper__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:57:16.000Z","33268","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","jumper","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.652524948120117","0","24993792","","36.405","36.405","7.06118504","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.473248243331909","","","","","","","","","","","","","","","0.15812193602323532","","","","","","","","","","","","","","","","","","","","","","","","","","0.5745880007743835","3.160721570253372","","","","","","","","","","",""
"leaper__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:57:18.000Z","34076","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","leaper","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.859735439221064","0","24993792","","105.44333333333333","105.44333333333333","5.966666666666667","5.133333333333334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3262358506520586","","","","","","","","","","","","","","","0.19575264304876328","","","","","","","","","","","","","","","","","","","","","","","","","","","0.08966770892341933","0.818595826625824","","","","","","","","",""
"heist__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:57:08.000Z","31719","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","heist","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8173684775829315","0","24993792","539.68","539.68","4.966666666666667","2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6966007550557456","","","","","","","","","","","","","","","","0.47185593843460083","","","","","","","","","","","","","","","","","","","","","","","","","0.09188234309355417","0.10602635890245438","","","","","","","","","","","","",""
"fruitbot__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:42:26.000Z","32109","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","fruitbot","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.94339879353841","0","24993792","","417.08666666666664","417.08666666666664","16.62384331666667","15.109340003333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.079270680745443","","","","","","","","","","","","","","","","-0.009918668287961434","","","","","","","","","","","","","","","","","","","","","","","","0.616518477598826","0.5551426857709885","","","","","","","","","","","","","","",""
"climber__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:42:16.000Z","31989","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","climber","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.951786200205485","0","24993792","","188.19666666666666","188.19666666666666","9.326447136666667","6.745590833333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.667698860168457","","","","","","","","","","","","","","","","0.12586863338947296","","","","","","","","","","","","","","","","","","","","","0.2999800990025202","0.4958171745141347","","","","","","","","","","","","","","","","","","","","",""
"chaser__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:42:01.000Z","30974","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","chaser","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.837446371714274","0","24993792","","250.87333333333333","250.87333333333333","10.410762633333333","9.56842797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8469722270965576","","","","","","","","","","","","","","","","0.12653963764508566","","","","","","","","","","","","","","","","","","","","0.4965946078300476","0.428186575571696","","","","","","","","","","","","","","","","","","","","","","",""
"bigfish__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:41:36.000Z","32633","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","bigfish","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","8.358588536580404","0","24993792","","541.85","541.85","11.948698496666665","5.04419968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0628244876861572","0.0645933710038662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8853386243184407","","0.23000248273213705","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dodgeball__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:41:43.000Z","33173","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","dodgeball","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5081164240837097","0","24993792","","302.78333333333336","302.78333333333336","5.34372548","1.9937421733333334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9297831058502197","","","","","","","","","","","","","","","","0.15557789305845895","","","","","","","","","","","","","","","","","","","","","","","0.13698808600505194","0.25960693260033924","","","","","","","","","","","","","","","","",""
"coinrun__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:41:41.000Z","32788","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","coinrun","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.521936575571696","0","24993792","","54.76","54.76","7.765708043333334","7.41110797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.670123895009359","","","","","","","","","","","","","","","","0.10061308989922206","","","","","","","","","","","","","","","","","","","","","","0.3903314272562663","0.6294697622458141","","","","","","","","","","","","","","","","","","",""
"bossfight__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:41:16.000Z","33993","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","bossfight","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","9.246237754821777","0","24993792","","362.1566666666667","362.1566666666667","10.54195348","8.99263839","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3769110838572187","","","","","","","","","","","","","","","","-0.06166024506092071","","","","","","","","","","","","","","","","","","0.21499130129814148","1.6665181716283162","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"caveflyer__ppo_split_sinkhornMYOW__1.000000","finished","-","bmazoure","","2021-04-05T00:41:04.000Z","33225","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","caveflyer","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_split_sinkhornMYOW","10","0","10","None","-1","true","1","false","false","false","false","4","false","0","0","0","0","false","1","","","","","","","","","","","","","","","","","","","3.5732949574788413","0","24993792","","173.70666666666668","173.70666666666668","6.987542913333334","5.497902716666666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5547547340393066","","","","","","","","","","","","","","","","0.20293604830900827","","","","","","","","","","","","","","","","","","","0.3760728637377421","0.4336838523546855","","","","","","","","","","","","","","","","","","","","","","","","",""
"bigfish__ppo_sinkhorn_MYOW__1.000000","finished","-","bmazoure","","2021-04-04T21:01:54.000Z","36786","","20","1","ppo_goal","impala","-1","-1","false","0","0","0.01","bigfish","0","easy","1","standard","0.999","false","false","0","0.0005","false","50","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","1","false","ppo_sinkhorn_MYOW","10","0","10","None","-1","true","2","false","false","false","false","4","false","0","0","0","0","false","1","8.821284294128418","0","24993792","","563.95","563.95","11.658719770000005","5.139473359999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0973732471466064","0.04499702900648117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8665571212768557","","0.24669790267944336","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"plunder__ppo__0.000000","finished","-","bmazoure","","2021-03-24T14:43:11.000Z","16519","","20","1","ppo","impala","-1","-1","false","0","0","0.01","plunder","0","easy","1","standard","0.999","false","false","0","0.0005","false","5","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","0","false","ppo","10","0","10","None","-1","true","2","false","false","false","false","4","false","0","0","0","0","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24993792","","","","7.047789156666666","5.60542278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"miner__ppo__0.000000","finished","-","bmazoure","","2021-03-24T14:42:45.000Z","17051","","20","1","ppo","impala","-1","-1","false","0","0","0.01","miner","0","easy","1","standard","0.999","false","false","0","0.0005","false","5","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","0","false","ppo","10","0","10","None","-1","true","2","false","false","false","false","4","false","0","0","0","0","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24993792","","","","8.53817908","9.67549672","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"starpilot__ppo__0.000000","finished","-","bmazoure","","2021-03-24T14:42:28.000Z","15250","","20","1","ppo","impala","-1","-1","false","0","0","0.01","starpilot","0","easy","1","standard","0.999","false","false","0","0.0005","false","5","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","0","false","ppo","10","0","10","None","-1","true","2","false","false","false","false","4","false","0","0","0","0","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24993792","","","","8.264398609999999","6.426336743333334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ninja__ppo__0.000000","finished","-","bmazoure","","2021-03-24T14:42:19.000Z","15118","","20","1","ppo","impala","-1","-1","false","0","0","0.01","ninja","0","easy","1","standard","0.999","false","false","0","0.0005","false","5","256","1","32","20","0","200","8","256","false","-1","3","1","1","1","0","false","ppo","10","0","10","None","-1","true","2","false","false","false","false","4","false","0","0","0","0","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24993792","","","","8.533333333333333","6.066666666666666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
